english,synonym,source
ataractic,tranquilising,Open English WordNet 2025 synset
ataractic,tranquilizing,Open English WordNet 2025 synset
ataractic,tranquillising,Open English WordNet 2025 synset
ataractic,tranquillizing,Open English WordNet 2025 synset
ataraxic,ataractic,Open English WordNet 2025 synset
ataraxic,sedative,Open English WordNet 2025 synset
ataraxic,tranquilising,Open English WordNet 2025 synset
ataraxic,tranquilizing,Open English WordNet 2025 synset
ataraxic,tranquillising,Open English WordNet 2025 synset
ataraxic,tranquillizing,Open English WordNet 2025 synset
ataraxis,heartsease,Open English WordNet 2025 synset
ataraxis,peace,Open English WordNet 2025 synset
ataraxis,peace of mind,Open English WordNet 2025 synset
ataraxis,peacefulness,Open English WordNet 2025 synset
ataraxis,repose,Open English WordNet 2025 synset
ataraxis,serenity,Open English WordNet 2025 synset
atavistic,throwback,Open English WordNet 2025 synset
athar,atar,Open English WordNet 2025 synset
athar,attar,Open English WordNet 2025 synset
athar,ottar,Open English WordNet 2025 synset
atherodyde,athodyd,Open English WordNet 2025 synset
atherodyde,flying drainpipe,Open English WordNet 2025 synset
atherodyde,ramjet,Open English WordNet 2025 synset
atherodyde,ramjet engine,Open English WordNet 2025 synset
athlete,jock,Open English WordNet 2025 synset
athletic competition,athletic contest,Open English WordNet 2025 synset
athletic competition,athletics,Open English WordNet 2025 synset
athletic contest,athletic competition,Open English WordNet 2025 synset
athletic contest,athletics,Open English WordNet 2025 synset
athletic field,field,Open English WordNet 2025 synset
athletic field,playing area,Open English WordNet 2025 synset
athletic field,playing field,Open English WordNet 2025 synset
athletic supporter,jock,Open English WordNet 2025 synset
athletic supporter,jockstrap,Open English WordNet 2025 synset
athletic supporter,supporter,Open English WordNet 2025 synset
athletic supporter,suspensor,Open English WordNet 2025 synset
athletics,athletic competition,Open English WordNet 2025 synset
athletics,athletic contest,Open English WordNet 2025 synset
athletics,sport,Open English WordNet 2025 synset
athodyd,atherodyde,Open English WordNet 2025 synset
athodyd,flying drainpipe,Open English WordNet 2025 synset
athodyd,ramjet,Open English WordNet 2025 synset
athodyd,ramjet engine,Open English WordNet 2025 synset
athwart,aslant,Open English WordNet 2025 synset
athwart,obliquely,Open English WordNet 2025 synset
atlas,atlas vertebra,Open English WordNet 2025 synset
atlas,book of maps,Open English WordNet 2025 synset
atlas,map collection,Open English WordNet 2025 synset
atlas,telamon,Open English WordNet 2025 synset
atlas vertebra,atlas,Open English WordNet 2025 synset
atmosphere,air,Open English WordNet 2025 synset
atmosphere,aura,Open English WordNet 2025 synset
atmospheric condition,conditions,Open English WordNet 2025 synset
atmospheric condition,weather,Open English WordNet 2025 synset
atmospheric condition,weather condition,Open English WordNet 2025 synset
atmospheric pressure,air pressure,Open English WordNet 2025 synset
atmospheric pressure,pressure,Open English WordNet 2025 synset
atom,corpuscle,Open English WordNet 2025 synset
atom,molecule,Open English WordNet 2025 synset
atom,mote,Open English WordNet 2025 synset
atom,particle,Open English WordNet 2025 synset
atom,speck,Open English WordNet 2025 synset
atom bomb,a-bomb,Open English WordNet 2025 synset
atom bomb,atomic bomb,Open English WordNet 2025 synset
atom bomb,fission bomb,Open English WordNet 2025 synset
atom bomb,plutonium bomb,Open English WordNet 2025 synset
atom smasher,accelerator,Open English WordNet 2025 synset
atom smasher,particle accelerator,Open English WordNet 2025 synset
atomic,nuclear,Open English WordNet 2025 synset
atomic bomb,a-bomb,Open English WordNet 2025 synset
atomic bomb,atom bomb,Open English WordNet 2025 synset
atomic bomb,fission bomb,Open English WordNet 2025 synset
atomic bomb,plutonium bomb,Open English WordNet 2025 synset
atomic pile,atomic reactor,Open English WordNet 2025 synset
atomic pile,chain reactor,Open English WordNet 2025 synset
atomic pile,pile,Open English WordNet 2025 synset
atomic reactor,atomic pile,Open English WordNet 2025 synset
atomic reactor,chain reactor,Open English WordNet 2025 synset
atomic reactor,pile,Open English WordNet 2025 synset
atomic theory,atomism,Open English WordNet 2025 synset
atomic theory,atomist theory,Open English WordNet 2025 synset
atomic theory,atomistic theory,Open English WordNet 2025 synset
atomisation,atomization,Open English WordNet 2025 synset
atomisation,fragmentation,Open English WordNet 2025 synset
atomise,atomize,Open English WordNet 2025 synset
atomise,nuke,Open English WordNet 2025 synset
atomise,zap,Open English WordNet 2025 synset
atomiser,atomizer,Open English WordNet 2025 synset
atomiser,nebuliser,Open English WordNet 2025 synset
atomiser,nebulizer,Open English WordNet 2025 synset
atomiser,spray,Open English WordNet 2025 synset
atomiser,sprayer,Open English WordNet 2025 synset
atomism,atomic theory,Open English WordNet 2025 synset
atomism,atomist theory,Open English WordNet 2025 synset
atomism,atomistic theory,Open English WordNet 2025 synset
atomist theory,atomic theory,Open English WordNet 2025 synset
atomist theory,atomism,Open English WordNet 2025 synset
atomist theory,atomistic theory,Open English WordNet 2025 synset
atomistic,atomistical,Open English WordNet 2025 synset
atomistic theory,atomic theory,Open English WordNet 2025 synset
atomistic theory,atomism,Open English WordNet 2025 synset
atomistic theory,atomist theory,Open English WordNet 2025 synset
atomistical,atomistic,Open English WordNet 2025 synset
atomization,atomisation,Open English WordNet 2025 synset
atomization,fragmentation,Open English WordNet 2025 synset
atomize,atomise,Open English WordNet 2025 synset
atomize,nuke,Open English WordNet 2025 synset
atomize,zap,Open English WordNet 2025 synset
atomizer,atomiser,Open English WordNet 2025 synset
atomizer,nebuliser,Open English WordNet 2025 synset
atomizer,nebulizer,Open English WordNet 2025 synset
atomizer,spray,Open English WordNet 2025 synset
atomizer,sprayer,Open English WordNet 2025 synset
atonal,unkeyed,Open English WordNet 2025 synset
atone,aby,Open English WordNet 2025 synset
atone,abye,Open English WordNet 2025 synset
atone,expiate,Open English WordNet 2025 synset
atone,repent,Open English WordNet 2025 synset
atonement,expiation,Open English WordNet 2025 synset
atonement,propitiation,Open English WordNet 2025 synset
atonement,satisfaction,Open English WordNet 2025 synset
atonic,unaccented,Open English WordNet 2025 synset
atrabilious,bilious,Open English WordNet 2025 synset
atrabilious,dyspeptic,Open English WordNet 2025 synset
atrabilious,liverish,Open English WordNet 2025 synset
atrocious,abominable,Open English WordNet 2025 synset
atrocious,awful,Open English WordNet 2025 synset
atrocious,dreadful,Open English WordNet 2025 synset
atrocious,flagitious,Open English WordNet 2025 synset
atrocious,frightful,Open English WordNet 2025 synset
atrocious,grievous,Open English WordNet 2025 synset
atrocious,horrible,Open English WordNet 2025 synset
atrocious,horrifying,Open English WordNet 2025 synset
atrocious,monstrous,Open English WordNet 2025 synset
atrocious,painful,Open English WordNet 2025 synset
atrocious,terrible,Open English WordNet 2025 synset
atrocious,ugly,Open English WordNet 2025 synset
atrocious,unspeakable,Open English WordNet 2025 synset
atrociously,abominably,Open English WordNet 2025 synset
atrociously,abysmally,Open English WordNet 2025 synset
atrociously,awfully,Open English WordNet 2025 synset
atrociously,rottenly,Open English WordNet 2025 synset
atrociously,terribly,Open English WordNet 2025 synset
atrociousness,atrocity,Open English WordNet 2025 synset
atrociousness,barbarity,Open English WordNet 2025 synset
atrociousness,barbarousness,Open English WordNet 2025 synset
atrociousness,heinousness,Open English WordNet 2025 synset
atrocity,atrociousness,Open English WordNet 2025 synset
atrocity,barbarity,Open English WordNet 2025 synset
atrocity,barbarousness,Open English WordNet 2025 synset
atrocity,heinousness,Open English WordNet 2025 synset
atrocity,inhumanity,Open English WordNet 2025 synset
atrophic arthritis,rheumatism,Open English WordNet 2025 synset
atrophic arthritis,rheumatoid arthritis,Open English WordNet 2025 synset
atrophy,wasting,Open English WordNet 2025 synset
atrophy,wasting away,Open English WordNet 2025 synset
atrophy,withering,Open English WordNet 2025 synset
attach,bind,Open English WordNet 2025 synset
attach,bond,Open English WordNet 2025 synset
attach,confiscate,Open English WordNet 2025 synset
attach,impound,Open English WordNet 2025 synset
attach,seize,Open English WordNet 2025 synset
attach,sequester,Open English WordNet 2025 synset
attach,tie,Open English WordNet 2025 synset
attach to,accompany,Open English WordNet 2025 synset
attach to,come with,Open English WordNet 2025 synset
attach to,go with,Open English WordNet 2025 synset
attache,attache case,Open English WordNet 2025 synset
attache case,attache,Open English WordNet 2025 synset
attached,affiliated,Open English WordNet 2025 synset
attached,connected,Open English WordNet 2025 synset
attachment,adherence,Open English WordNet 2025 synset
attachment,adhesion,Open English WordNet 2025 synset
attachment,affixation,Open English WordNet 2025 synset
attachment,bond,Open English WordNet 2025 synset
attachment,fastening,Open English WordNet 2025 synset
attack,assail,Open English WordNet 2025 synset
attack,assault,Open English WordNet 2025 synset
attack,attempt,Open English WordNet 2025 synset
attack,blast,Open English WordNet 2025 synset
attack,fire,Open English WordNet 2025 synset
attack,flack,Open English WordNet 2025 synset
attack,flak,Open English WordNet 2025 synset
attack,lash out,Open English WordNet 2025 synset
attack,onrush,Open English WordNet 2025 synset
attack,onset,Open English WordNet 2025 synset
attack,onslaught,Open English WordNet 2025 synset
attack,round,Open English WordNet 2025 synset
attack,set on,Open English WordNet 2025 synset
attack,snipe,Open English WordNet 2025 synset
attack aircraft,fighter,Open English WordNet 2025 synset
attack aircraft,fighter aircraft,Open English WordNet 2025 synset
attack aircraft carrier,aircraft carrier,Open English WordNet 2025 synset
attack aircraft carrier,carrier,Open English WordNet 2025 synset
attack aircraft carrier,flattop,Open English WordNet 2025 synset
attacker,aggressor,Open English WordNet 2025 synset
attacker,assailant,Open English WordNet 2025 synset
attacker,assaulter,Open English WordNet 2025 synset
attain,accomplish,Open English WordNet 2025 synset
attain,achieve,Open English WordNet 2025 synset
attain,arrive at,Open English WordNet 2025 synset
attain,chance on,Open English WordNet 2025 synset
attain,chance upon,Open English WordNet 2025 synset
attain,come across,Open English WordNet 2025 synset
attain,come upon,Open English WordNet 2025 synset
attain,discover,Open English WordNet 2025 synset
attain,fall upon,Open English WordNet 2025 synset
attain,gain,Open English WordNet 2025 synset
attain,happen upon,Open English WordNet 2025 synset
attain,hit,Open English WordNet 2025 synset
attain,light upon,Open English WordNet 2025 synset
attain,make,Open English WordNet 2025 synset
attain,reach,Open English WordNet 2025 synset
attain,strike,Open English WordNet 2025 synset
attainable,come-at-able,Open English WordNet 2025 synset
attainment,accomplishment,Open English WordNet 2025 synset
attainment,acquirement,Open English WordNet 2025 synset
attainment,acquisition,Open English WordNet 2025 synset
attainment,skill,Open English WordNet 2025 synset
attar,atar,Open English WordNet 2025 synset
attar,athar,Open English WordNet 2025 synset
attar,ottar,Open English WordNet 2025 synset
attempt,attack,Open English WordNet 2025 synset
attempt,effort,Open English WordNet 2025 synset
attempt,endeavor,Open English WordNet 2025 synset
attempt,endeavour,Open English WordNet 2025 synset
attempt,set about,Open English WordNet 2025 synset
attempt,try,Open English WordNet 2025 synset
attempt,undertake,Open English WordNet 2025 synset
attend,advert,Open English WordNet 2025 synset
attend,assist,Open English WordNet 2025 synset
attend,attend to,Open English WordNet 2025 synset
attend,give ear,Open English WordNet 2025 synset
attend,go to,Open English WordNet 2025 synset
attend,hang,Open English WordNet 2025 synset
attend,look,Open English WordNet 2025 synset
attend,pay heed,Open English WordNet 2025 synset
attend,see,Open English WordNet 2025 synset
attend,serve,Open English WordNet 2025 synset
attend,take care,Open English WordNet 2025 synset
attend,wait on,Open English WordNet 2025 synset
attend to,assist,Open English WordNet 2025 synset
attend to,attend,Open English WordNet 2025 synset
attend to,serve,Open English WordNet 2025 synset
attend to,wait on,Open English WordNet 2025 synset
attendant,accompaniment,Open English WordNet 2025 synset
attendant,accompanying,Open English WordNet 2025 synset
attendant,attendee,Open English WordNet 2025 synset
attendant,attender,Open English WordNet 2025 synset
attendant,co-occurrence,Open English WordNet 2025 synset
attendant,collateral,Open English WordNet 2025 synset
attendant,concomitant,Open English WordNet 2025 synset
attendant,consequent,Open English WordNet 2025 synset
attendant,ensuant,Open English WordNet 2025 synset
attendant,incidental,Open English WordNet 2025 synset
attendant,meeter,Open English WordNet 2025 synset
attendant,resultant,Open English WordNet 2025 synset
attendant,sequent,Open English WordNet 2025 synset
attendant,tender,Open English WordNet 2025 synset
attendee,attendant,Open English WordNet 2025 synset
attendee,attender,Open English WordNet 2025 synset
attendee,meeter,Open English WordNet 2025 synset
attender,attendant,Open English WordNet 2025 synset
attender,attendee,Open English WordNet 2025 synset
attender,auditor,Open English WordNet 2025 synset
attender,hearer,Open English WordNet 2025 synset
attender,listener,Open English WordNet 2025 synset
attender,meeter,Open English WordNet 2025 synset
attender,tender,Open English WordNet 2025 synset
attending,attention,Open English WordNet 2025 synset
attention,aid,Open English WordNet 2025 synset
attention,attending,Open English WordNet 2025 synset
attention,care,Open English WordNet 2025 synset
attention,tending,Open English WordNet 2025 synset
attention-getting,catchy,Open English WordNet 2025 synset
attentive,heedful,Open English WordNet 2025 synset
attentive,paying attention,Open English WordNet 2025 synset
attentive,thoughtful,Open English WordNet 2025 synset
attentiveness,heed,Open English WordNet 2025 synset
attentiveness,paying attention,Open English WordNet 2025 synset
attentiveness,regard,Open English WordNet 2025 synset
attenuation,fading,Open English WordNet 2025 synset
attest,bear witness,Open English WordNet 2025 synset
attest,certify,Open English WordNet 2025 synset
attest,demonstrate,Open English WordNet 2025 synset
attest,evidence,Open English WordNet 2025 synset
attest,manifest,Open English WordNet 2025 synset
attest,take the stand,Open English WordNet 2025 synset
attest,testify,Open English WordNet 2025 synset
attestant,attestator,Open English WordNet 2025 synset
attestant,attestor,Open English WordNet 2025 synset
attestant,witness,Open English WordNet 2025 synset
attestator,attestant,Open English WordNet 2025 synset
attestator,attestor,Open English WordNet 2025 synset
attestator,witness,Open English WordNet 2025 synset
attestor,attestant,Open English WordNet 2025 synset
attestor,attestator,Open English WordNet 2025 synset
attestor,witness,Open English WordNet 2025 synset
attic,bean,Open English WordNet 2025 synset
attic,bonce,Open English WordNet 2025 synset
attic,dome,Open English WordNet 2025 synset
attic,garret,Open English WordNet 2025 synset
attic,loft,Open English WordNet 2025 synset
attic,noggin,Open English WordNet 2025 synset
attic,noodle,Open English WordNet 2025 synset
attire,deck out,Open English WordNet 2025 synset
attire,deck up,Open English WordNet 2025 synset
attire,dress,Open English WordNet 2025 synset
attire,dress up,Open English WordNet 2025 synset
attire,fancy up,Open English WordNet 2025 synset
attire,fig out,Open English WordNet 2025 synset
attire,fig up,Open English WordNet 2025 synset
attire,garb,Open English WordNet 2025 synset
attire,get up,Open English WordNet 2025 synset
attire,gussy up,Open English WordNet 2025 synset
attire,overdress,Open English WordNet 2025 synset
attire,prink,Open English WordNet 2025 synset
attire,rig out,Open English WordNet 2025 synset
attire,tog out,Open English WordNet 2025 synset
attire,tog up,Open English WordNet 2025 synset
attire,trick out,Open English WordNet 2025 synset
attire,trick up,Open English WordNet 2025 synset
attitude,position,Open English WordNet 2025 synset
attitude,posture,Open English WordNet 2025 synset
attitudinise,attitudinize,Open English WordNet 2025 synset
attitudinize,attitudinise,Open English WordNet 2025 synset
attorney,lawyer,Open English WordNet 2025 synset
attract,appeal,Open English WordNet 2025 synset
attract,draw,Open English WordNet 2025 synset
attract,draw in,Open English WordNet 2025 synset
attract,pull,Open English WordNet 2025 synset
attract,pull in,Open English WordNet 2025 synset
attracter,attraction,Open English WordNet 2025 synset
attracter,attractive feature,Open English WordNet 2025 synset
attracter,attractor,Open English WordNet 2025 synset
attracter,draw,Open English WordNet 2025 synset
attracter,drawing card,Open English WordNet 2025 synset
attracter,magnet,Open English WordNet 2025 synset
attraction,attracter,Open English WordNet 2025 synset
attraction,attractive feature,Open English WordNet 2025 synset
attraction,attractive force,Open English WordNet 2025 synset
attraction,attractiveness,Open English WordNet 2025 synset
attraction,attractor,Open English WordNet 2025 synset
attraction,draw,Open English WordNet 2025 synset
attraction,drawing card,Open English WordNet 2025 synset
attraction,magnet,Open English WordNet 2025 synset
attractive feature,attracter,Open English WordNet 2025 synset
attractive feature,attraction,Open English WordNet 2025 synset
attractive feature,attractor,Open English WordNet 2025 synset
attractive feature,magnet,Open English WordNet 2025 synset
attractive force,attraction,Open English WordNet 2025 synset
attractiveness,attraction,Open English WordNet 2025 synset
attractor,attracter,Open English WordNet 2025 synset
attractor,attraction,Open English WordNet 2025 synset
attractor,attractive feature,Open English WordNet 2025 synset
attractor,draw,Open English WordNet 2025 synset
attractor,drawing card,Open English WordNet 2025 synset
attractor,magnet,Open English WordNet 2025 synset
attribute,ascribe,Open English WordNet 2025 synset
attribute,assign,Open English WordNet 2025 synset
attribute,dimension,Open English WordNet 2025 synset
attribute,impute,Open English WordNet 2025 synset
attribute,property,Open English WordNet 2025 synset
attribution,ascription,Open English WordNet 2025 synset
attrition,abrasion,Open English WordNet 2025 synset
attrition,contriteness,Open English WordNet 2025 synset
attrition,contrition,Open English WordNet 2025 synset
attrition,corrasion,Open English WordNet 2025 synset
attrition,detrition,Open English WordNet 2025 synset
attrition,grinding,Open English WordNet 2025 synset
au,gold,Open English WordNet 2025 synset
au naturel,bare,Open English WordNet 2025 synset
au naturel,naked,Open English WordNet 2025 synset
au naturel,nude,Open English WordNet 2025 synset
au revoir,adieu,Open English WordNet 2025 synset
au revoir,adios,Open English WordNet 2025 synset
au revoir,arrivederci,Open English WordNet 2025 synset
au revoir,auf wiedersehen,Open English WordNet 2025 synset
au revoir,bye,Open English WordNet 2025 synset
au revoir,bye-bye,Open English WordNet 2025 synset
au revoir,cheerio,Open English WordNet 2025 synset
au revoir,good day,Open English WordNet 2025 synset
au revoir,good-by,Open English WordNet 2025 synset
au revoir,good-bye,Open English WordNet 2025 synset
au revoir,goodby,Open English WordNet 2025 synset
au revoir,goodbye,Open English WordNet 2025 synset
au revoir,sayonara,Open English WordNet 2025 synset
au revoir,so long,Open English WordNet 2025 synset
auberge,hostel,Open English WordNet 2025 synset
auberge,hostelry,Open English WordNet 2025 synset
auberge,inn,Open English WordNet 2025 synset
auberge,lodge,Open English WordNet 2025 synset
aubergine,brinjal,Open English WordNet 2025 synset
aubergine,eggplant,Open English WordNet 2025 synset
aubergine,eggplant bush,Open English WordNet 2025 synset
aubergine,garden egg,Open English WordNet 2025 synset
aubergine,mad apple,Open English WordNet 2025 synset
aubergine,solanum melongena,Open English WordNet 2025 synset
auction,auction bridge,Open English WordNet 2025 synset
auction,auction sale,Open English WordNet 2025 synset
auction,vendue,Open English WordNet 2025 synset
auction bridge,auction,Open English WordNet 2025 synset
auction sale,auction,Open English WordNet 2025 synset
auction sale,vendue,Open English WordNet 2025 synset
audacious,bald-faced,Open English WordNet 2025 synset
audacious,barefaced,Open English WordNet 2025 synset
audacious,bodacious,Open English WordNet 2025 synset
audacious,brassy,Open English WordNet 2025 synset
audacious,brave,Open English WordNet 2025 synset
audacious,brazen,Open English WordNet 2025 synset
audacious,brazen-faced,Open English WordNet 2025 synset
audacious,daring,Open English WordNet 2025 synset
audacious,dauntless,Open English WordNet 2025 synset
audacious,fearless,Open English WordNet 2025 synset
audacious,hardy,Open English WordNet 2025 synset
audacious,insolent,Open English WordNet 2025 synset
audacious,intrepid,Open English WordNet 2025 synset
audacious,unfearing,Open English WordNet 2025 synset
audacious,venturesome,Open English WordNet 2025 synset
audacious,venturous,Open English WordNet 2025 synset
audaciousness,audacity,Open English WordNet 2025 synset
audaciousness,temerity,Open English WordNet 2025 synset
audacity,audaciousness,Open English WordNet 2025 synset
audacity,temerity,Open English WordNet 2025 synset
audible,hearable,Open English WordNet 2025 synset
audience,consultation,Open English WordNet 2025 synset
audience,hearing,Open English WordNet 2025 synset
audience,interview,Open English WordNet 2025 synset
audio,sound,Open English WordNet 2025 synset
audiometer,sonometer,Open English WordNet 2025 synset
audit,audited account,Open English WordNet 2025 synset
audit,inspect,Open English WordNet 2025 synset
audit,scrutinise,Open English WordNet 2025 synset
audit,scrutinize,Open English WordNet 2025 synset
audited account,audit,Open English WordNet 2025 synset
audition,auditory modality,Open English WordNet 2025 synset
audition,auditory sense,Open English WordNet 2025 synset
audition,hearing,Open English WordNet 2025 synset
audition,sense of hearing,Open English WordNet 2025 synset
audition,tryout,Open English WordNet 2025 synset
auditor,attender,Open English WordNet 2025 synset
auditor,hearer,Open English WordNet 2025 synset
auditor,listener,Open English WordNet 2025 synset
auditory modality,audition,Open English WordNet 2025 synset
auditory modality,auditory sense,Open English WordNet 2025 synset
auditory modality,hearing,Open English WordNet 2025 synset
auditory modality,sense of hearing,Open English WordNet 2025 synset
auditory sensation,sound,Open English WordNet 2025 synset
auditory sense,audition,Open English WordNet 2025 synset
auditory sense,auditory modality,Open English WordNet 2025 synset
auditory sense,hearing,Open English WordNet 2025 synset
auditory sense,sense of hearing,Open English WordNet 2025 synset
auf wiedersehen,adieu,Open English WordNet 2025 synset
auf wiedersehen,adios,Open English WordNet 2025 synset
auf wiedersehen,arrivederci,Open English WordNet 2025 synset
auf wiedersehen,au revoir,Open English WordNet 2025 synset
auf wiedersehen,bye,Open English WordNet 2025 synset
auf wiedersehen,bye-bye,Open English WordNet 2025 synset
auf wiedersehen,cheerio,Open English WordNet 2025 synset
auf wiedersehen,good day,Open English WordNet 2025 synset
auf wiedersehen,good-by,Open English WordNet 2025 synset
auf wiedersehen,good-bye,Open English WordNet 2025 synset
auf wiedersehen,goodby,Open English WordNet 2025 synset
auf wiedersehen,goodbye,Open English WordNet 2025 synset
auf wiedersehen,sayonara,Open English WordNet 2025 synset
auf wiedersehen,so long,Open English WordNet 2025 synset
aug,august,Open English WordNet 2025 synset
auger,gimlet,Open English WordNet 2025 synset
auger,plumber's snake,Open English WordNet 2025 synset
auger,screw auger,Open English WordNet 2025 synset
auger,snake,Open English WordNet 2025 synset
auger,wimble,Open English WordNet 2025 synset
aught,cipher,Open English WordNet 2025 synset
aught,cypher,Open English WordNet 2025 synset
aught,goose egg,Open English WordNet 2025 synset
aught,nada,Open English WordNet 2025 synset
aught,naught,Open English WordNet 2025 synset
aught,nil,Open English WordNet 2025 synset
aught,nix,Open English WordNet 2025 synset
aught,nothing,Open English WordNet 2025 synset
aught,null,Open English WordNet 2025 synset
aught,zero,Open English WordNet 2025 synset
aught,zilch,Open English WordNet 2025 synset
aught,zip,Open English WordNet 2025 synset
aught,zippo,Open English WordNet 2025 synset
augur,auspex,Open English WordNet 2025 synset
augur,auspicate,Open English WordNet 2025 synset
augur,betoken,Open English WordNet 2025 synset
augur,bode,Open English WordNet 2025 synset
augur,forecast,Open English WordNet 2025 synset
augur,foreshadow,Open English WordNet 2025 synset
augur,foretell,Open English WordNet 2025 synset
augur,omen,Open English WordNet 2025 synset
augur,portend,Open English WordNet 2025 synset
augur,predict,Open English WordNet 2025 synset
augur,prefigure,Open English WordNet 2025 synset
augur,presage,Open English WordNet 2025 synset
augur,prognosticate,Open English WordNet 2025 synset
augury,foretoken,Open English WordNet 2025 synset
augury,preindication,Open English WordNet 2025 synset
augury,sign,Open English WordNet 2025 synset
august,aug,Open English WordNet 2025 synset
august,grand,Open English WordNet 2025 synset
august,lordly,Open English WordNet 2025 synset
august,revered,Open English WordNet 2025 synset
august,venerable,Open English WordNet 2025 synset
aunt,auntie,Open English WordNet 2025 synset
aunt,aunty,Open English WordNet 2025 synset
auntie,aunt,Open English WordNet 2025 synset
auntie,aunty,Open English WordNet 2025 synset
aunty,aunt,Open English WordNet 2025 synset
aunty,auntie,Open English WordNet 2025 synset
aura,air,Open English WordNet 2025 synset
aura,atmosphere,Open English WordNet 2025 synset
aura,aureole,Open English WordNet 2025 synset
aura,gloriole,Open English WordNet 2025 synset
aura,glory,Open English WordNet 2025 synset
aura,halo,Open English WordNet 2025 synset
aura,nimbus,Open English WordNet 2025 synset
aureate,flamboyant,Open English WordNet 2025 synset
aureate,florid,Open English WordNet 2025 synset
aureate,gilded,Open English WordNet 2025 synset
aureate,gilt,Open English WordNet 2025 synset
aureate,gold,Open English WordNet 2025 synset
aureate,golden,Open English WordNet 2025 synset
aureole,aura,Open English WordNet 2025 synset
aureole,gloriole,Open English WordNet 2025 synset
aureole,glory,Open English WordNet 2025 synset
aureole,halo,Open English WordNet 2025 synset
aureole,nimbus,Open English WordNet 2025 synset
auricle,ear,Open English WordNet 2025 synset
auricle,pinna,Open English WordNet 2025 synset
auricular,otic,Open English WordNet 2025 synset
auriform,ear-like,Open English WordNet 2025 synset
auriform,ear-shaped,Open English WordNet 2025 synset
aurochs,bison bonasus,Open English WordNet 2025 synset
aurochs,bos primigenius,Open English WordNet 2025 synset
aurochs,urus,Open English WordNet 2025 synset
aurochs,wisent,Open English WordNet 2025 synset
aurora,break of day,Open English WordNet 2025 synset
aurora,break of the day,Open English WordNet 2025 synset
aurora,cockcrow,Open English WordNet 2025 synset
aurora,dawn,Open English WordNet 2025 synset
aurora,dawning,Open English WordNet 2025 synset
aurora,daybreak,Open English WordNet 2025 synset
aurora,dayspring,Open English WordNet 2025 synset
aurora,first light,Open English WordNet 2025 synset
aurora,morning,Open English WordNet 2025 synset
aurora,sunrise,Open English WordNet 2025 synset
aurora,sunup,Open English WordNet 2025 synset
aurora borealis,northern lights,Open English WordNet 2025 synset
auspex,augur,Open English WordNet 2025 synset
auspicate,augur,Open English WordNet 2025 synset
auspicate,betoken,Open English WordNet 2025 synset
auspicate,bode,Open English WordNet 2025 synset
auspicate,forecast,Open English WordNet 2025 synset
auspicate,foreshadow,Open English WordNet 2025 synset
auspicate,foretell,Open English WordNet 2025 synset
auspicate,omen,Open English WordNet 2025 synset
auspicate,portend,Open English WordNet 2025 synset
auspicate,predict,Open English WordNet 2025 synset
auspicate,prefigure,Open English WordNet 2025 synset
auspicate,presage,Open English WordNet 2025 synset
auspicate,prognosticate,Open English WordNet 2025 synset
auspices,aegis,Open English WordNet 2025 synset
auspices,protection,Open English WordNet 2025 synset
austere,severe,Open English WordNet 2025 synset
austere,stark,Open English WordNet 2025 synset
austere,stern,Open English WordNet 2025 synset
austerity,asceticism,Open English WordNet 2025 synset
austerity,nonindulgence,Open English WordNet 2025 synset
australian crawl,crawl,Open English WordNet 2025 synset
australian crawl,front crawl,Open English WordNet 2025 synset
australian honeysuckle,banksia integrifolia,Open English WordNet 2025 synset
australian honeysuckle,coast banksia,Open English WordNet 2025 synset
australian honeysuckle,honeysuckle,Open English WordNet 2025 synset
australian stilt,stilt,Open English WordNet 2025 synset
authentic,bona fide,Open English WordNet 2025 synset
authentic,unquestionable,Open English WordNet 2025 synset
authentic,veritable,Open English WordNet 2025 synset
authentically,genuinely,Open English WordNet 2025 synset
authentication,assay-mark,Open English WordNet 2025 synset
authentication,certification,Open English WordNet 2025 synset
authentication,hallmark,Open English WordNet 2025 synset
authenticator,appraiser,Open English WordNet 2025 synset
authenticity,genuineness,Open English WordNet 2025 synset
authenticity,legitimacy,Open English WordNet 2025 synset
author,generator,Open English WordNet 2025 synset
author,source,Open English WordNet 2025 synset
author,writer,Open English WordNet 2025 synset
authorisation,authority,Open English WordNet 2025 synset
authorisation,authorization,Open English WordNet 2025 synset
authorisation,dominance,Open English WordNet 2025 synset
authorisation,empowerment,Open English WordNet 2025 synset
authorisation,mandate,Open English WordNet 2025 synset
authorisation,potency,Open English WordNet 2025 synset
authorisation,sanction,Open English WordNet 2025 synset
authorisation,say-so,Open English WordNet 2025 synset
authorise,authorize,Open English WordNet 2025 synset
authorise,clear,Open English WordNet 2025 synset
authorise,empower,Open English WordNet 2025 synset
authorise,pass,Open English WordNet 2025 synset
authorised,authoritative,Open English WordNet 2025 synset
authorised,authorized,Open English WordNet 2025 synset
authoritarian,autocratic,Open English WordNet 2025 synset
authoritarian,despotic,Open English WordNet 2025 synset
authoritarian,dictator,Open English WordNet 2025 synset
authoritarian,dictatorial,Open English WordNet 2025 synset
authoritarian,overbearing,Open English WordNet 2025 synset
authoritarian,tyrannic,Open English WordNet 2025 synset
authoritarian,tyrannical,Open English WordNet 2025 synset
authoritarianism,absolutism,Open English WordNet 2025 synset
authoritarianism,caesarism,Open English WordNet 2025 synset
authoritarianism,despotism,Open English WordNet 2025 synset
